GUN_PK	BARREL_LENGTH	CALIBER	FRAME_MATERIAL	GUN_IS_DIRTY	LAST_CARRIED_DATE	LAST_CLEANED_DATE	LAST_FIRED_DATE	MAKE	MARKET_COST	MARKET_COST_DATE	MARKET_URL	MODEL	NICKNAME	NOTES	PURCHASE_COST	PURCHASE_DATE	SERIAL	SIGHTED_DATE
1	2.50	357 Magnum	Metal	FALSE	2022-01-11	2022-11-24	2022-10-02	Smith & Wesson	947.00	2022-04-06	https://www.guns.com/firearms/handguns/revolver/smith-&-wesson-686-357-magnum-double-action-6-rounds-4-1-barrel-new?p=470366	686+	Harriet		710.00	2020-04-01	DMH8055	01/13/2021 C
2	2.75	380 Auto	Composite	FALSE	2023-02-21	2022-11-24	2022-06-12	Ruger	370.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/ruger-lcp-2-380-auto-semi-auto-6-rounds-2-75-barrel-used?p=456481	LCP2	Eileen		250.00	2020-04-01	380537326	N/A
3	5.00	9mm	Metal	TRUE	2023-01-29	2022-11-24	2022-07-17	Walther	1749.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/walther-ppq-q5-match-9mm-luger-dao-15-1-rounds-5-barrel-new?p=54626	PPQ Q5 Match	Eve		1489.00	2020-04-07	FCY8170	01/13/2021 C
4	3.00	380 Auto	Metal	FALSE	2022-08-06	2022-11-24	2022-06-12	Sig Sauer	710.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/sig-sauer-p238-380-auto-single-action-6-rounds-2-7-barrel-new?p=470846	P238	Linde		639.00	2020-04-17	27B154603	N/A
5	5.00	45 Auto	Metal	FALSE	1970-01-01	2022-11-25	2022-07-02	Smith & Wesson	1649.00	2022-04-06		1911 Perf Center	Samantha		1393.00	2020-05-02	UFD1587	NEEDS
6	4.70	9mm	Metal	FALSE	1970-01-01	2023-02-19	2021-05-16	Beretta	699.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/beretta-92x-9mm-luger-semi-auto-17-rounds-4-7-barrel-used?p=328433	92X FS	Tiffany		708.00	2020-05-09	92X0021990	01/13/2021 C
7	4.40	9mm	Metal	FALSE	1970-01-01	2021-01-21	2021-01-15	Sig Sauer	1569.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/sig-sauer-p226-legion-9mm-luger-(9x19-para)-single-action-15-1-rounds-4-4-barrel-new?p=458212	P226 Legion SAO	Lila		1210.00	2020-05-20	47A223847	01/13/2021 C
8	3.50	9mm	Composite	FALSE	2022-12-04	2023-02-19	2022-07-17	Canik	438.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/canik-tp9-elite-sc-9mm-dao-15-rounds-3-6-barrel-new?p=464918	TP9 Elite SC	Candy		340.00	2020-05-22	T6472-19 CB 05389	01/13/2021 C
9	3.00	380 Auto	Metal	FALSE	2023-03-21	2021-07-01	2021-06-19	Walther	699.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/interarms-walther-ppk-380-acp-semi-auto-12-rounds-32-barrel-used?p=451315	PPK/S	Teresa		809.00	2020-06-08	AB130776	N/A
10	4.20	45 Auto	Metal	FALSE	1970-01-01	2022-11-25	2022-07-17	Sig Sauer	1181.00	2022-04-06	https://truegunvalue.com/pistol/Emperor-Scorpion-1911/price-historical-value	Emperor Scorpion 1911	Scarlett		1109.00	2020-06-09	54E016491	N/A (+P OK)
11	4.00	357 Magnum	Metal	FALSE	1970-01-01	2022-11-24	2022-07-17	Chiappa	979.00	2022-04-06	https://truegunvalue.com/pistol/Chiappa-Rhino-40DS/price-historical-value	Rhino 40DS	Chi-Chi		1139.00	2020-06-17	18L01192	01/13/2021 C
12	4.29	9mm	Metal	FALSE	1970-01-01	2022-02-06	2022-01-29	Hudson	1089.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/hudson-h9-9mm-luger-(9x19-para)-single-action-15-1-rounds-4-3-barrel-used?p=467406	H9	Rock		1190.00	2020-06-18	H06688	N/A
13	4.25	380 Auto	Metal	FALSE	1970-01-01	2021-07-01	2021-06-19	Browning	863.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/browning-1911-380-black-label-medallion-pro-380-acp-single-action-8-1-rounds-3-5-barrel-new?p=468232	1911 380 Pro Stainless	Joanna		750.00	2020-07-30	51HZR17180	N/A
14	5.10	45 Auto	Composite	FALSE	2022-05-09	2022-11-24	2021-09-25	Heckler & Koch	1117.00	2022-04-06	https://truegunvalue.com/pistol/USP-Tactical/price-historical-value	USP Tactical	Ursula		875.00	2020-08-16	25-106836	01/13/2021 C (+P OK)
15	4.50	45 Auto	Metal	FALSE	1970-01-01	2021-09-25	2021-08-22	Ruger	415.00	2022-04-06	https://truegunvalue.com/pistol/Ruger-P90DC/price-historical-value	P90DC	Rachel		650.00	2020-08-17	660-36774	N/A (+P OK)
16	2.50	357 Magnum	Metal	FALSE	1970-01-01	2022-02-23	2022-02-12	Bond Arms	284.00	2022-04-06	https://www.guns.com/firearms/handguns/derringer/bond-arms-roughneck-9mm-luger-(9x19-para)-derringer-2-rounds-2-5-barrel-new?p=91177	Roughneck	Clementine		360.00	2020-09-12	221626	01/13/2021 C
17	4.00	9mm	Composite	FALSE	2022-07-16	2022-02-23	2022-02-12	Steyr Manlicher	671.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/steyr-m9-a2-9mm-luger-(9x19-para)-dao-17-1-rounds-4-barrel-new?p=293069	M9-A1	Stella		500.00	2020-09-27	3022005	01/13/2021 C
18	4.00	9mm	Composite	FALSE	1970-01-01	2023-02-19	2020-12-11	Beretta	599.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/beretta-px4-storm-9mm-luger-(9x19-para)-171-4-barrel-new?p=49120	Storm PX4	Stephanie		550.00	2020-09-27	PX330162	N/A
19	3.00	9mm	Metal	FALSE	2021-10-30	2023-02-19	2022-06-12	Remington	356.00	2022-04-06	https://truegunvalue.com/pistol/R51/price-historical-value	R51	Renee		530.00	2020-10-24	H027284R51	01/13/2021 C
20	4.00	9mm	Metal	FALSE	1970-01-01	2023-02-19	2021-02-17	Smith & Wesson	649.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/smith-&-wesson-5906-9mm-luger-semi-auto-14-rounds-4-barrel-used?p=469106	Model 5906	Carolyn		560.00	2020-11-07	VYY4448	N/A
21	4.40	9mm	Metal	FALSE	2022-03-21	2022-04-13	2022-02-06	Magnum Research	603.00	2022-04-06	https://truegunvalue.com/pistol/Magnum-Research-Baby-Eagle/price-historical-value	Baby Eagle III	Hailey		734.00	2020-11-17	SB105434	N/A
22	4.25	45 Auto	Metal	FALSE	1970-01-01	2022-11-25	2021-01-31	Ruger	1249.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/ruger-sr1911-9mm-new?p=470605	SR1911 DLC Commander	Natalia		940.00	2020-12-06	672-00392	N/A (+P OK)
23	16.50	22 LR	Composite	TRUE	1970-01-01	2022-01-08	2022-01-09	Henry	287.00	2022-04-06	https://www.guns.com/firearms/rifles/semi-auto/henry-ar-7-us-survival-rifle-22-lr-8-1-rounds-16-1-barrel-new?p=7252	US Survival Rifle AR-7	Henrietta		280.00	2020-12-14	11111111	N/A
24	16.50	45 Auto	Metal	TRUE	1970-01-01	2021-02-18	2022-04-03	Auto Ordnance	2999.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/auto-ordnance-model-of-1927-a1-thompson-semi-automatic-carbine-100-round-drum-and-guitar-case-45-auto-semi-auto-20-rounds-16-barrel-used?p=460330	1927-A1	Bonnie		2000.00	2020-12-19	KT3599	N/A (+P NR)
25	3.50	45 Auto	Composite	FALSE	2022-05-21	2022-11-24	2022-05-21	Kahr	383.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/kahr-arms-cw45-45-acp-double-action-7-1-rounds-3-6-barrel-new?p=50911	CW45	Madelyn		500.00	2021-01-04	SD9980	N/A (+P NR)
26	4.25	9mm	Composite	FALSE	2022-01-09	2023-02-19	2022-02-06	Beretta	430.00	2022-04-06		APX	Alex	notes	500.00	2021-01-04	A116021X	N/A
27	3.50	40 S&W	Composite	FALSE	1970-01-01	2022-04-13	2022-04-03	Smith & Wesson	505.00	2022-04-06		SW990L	Sybil		785.00	2021-01-17	SAJ7123	N/A
28	3.80	380 Auto	Metal	FALSE	2022-09-19	2021-07-01	2021-06-19	Beretta	799.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/beretta-85-bb-380-auto-semi-auto-7-rounds-3-75-barrel-used?p=387770	85-BB Cheetah	Barbara		400.00	2021-01-28	Y04676Y	N/A
29	2.75	9mm	Metal	FALSE	2022-04-12	2022-11-24	2022-06-12	Kahr	1015.00	2022-04-06		MK9 Elite	Chloe	The quick brown fox jumped over the motivationally challenged dog.	700.00	2021-01-30	GC3708	N/A
30	3.70	380 Auto	Composite	FALSE	1970-01-01	2022-02-06	2021-11-21	Walther	433.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/walther-pk380-380-acp-double-action-8-rounds-3-7-barrel-new?p=452774	PK380	Olivia		400.00	2021-02-04	WB165042	N/A
31	4.10	9mm	Composite	FALSE	2022-03-06	2022-03-20	2022-03-20	Heckler & Koch	699.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/h&k-vp9-9mm-luger-semi-auto-17-rounds-4-1-barrel-used?p=458077	VP9	Valerie		800.00	2021-02-19	224-306984 DE	N/A
32	4.25	45 Auto	Composite	FALSE	2022-10-02	2022-11-24	2022-07-02	Walther	722.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/walther-ppq-m2-45-acp-striker-fired-12-rounds-4-3-barrel-new?p=458883	PPQ M2 45	Vesper		700.00	2021-02-20	FDB2101	N/A  (+P OK)
33	4.80	45 Auto	Metal	FALSE	1970-01-01	2022-11-24	2022-07-17	CZ	843.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/cz-97-b-45-acp-single-double-10-1-rounds-4-8-barrel-new?p=421912	97B	Calista		850.00	2021-03-05	F013762	N/A (+P OK)
34	4.50	9mm	Metal	FALSE	2022-08-01	2021-07-02	2021-06-27	Sarsilmaz	599.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/sar-usa-model-2000-9mm-17-rounds-new?p=69073	2000-ST	Zehra		450.00	2021-03-23	T1102-20B50563	N/A
35	4.90	9mm	Metal	FALSE	2022-11-06	2022-11-24	2022-07-17	Beretta	811.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/beretta-92-fs-inox-*ca-compliant-9mm-luger-10-1-rounds-4-9-barrel-new?p=471659	92 FS Inox	Jean		750.00	2021-04-12	A265470Z	N/A
36	4.60	9mm	Metal	FALSE	1970-01-01	2021-08-12	2021-08-01	Browning	1499.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/browning-hi-power-9mm-luger-semi-auto-10-rounds-4-75-barrel-used?p=469208	Hi-Power Practical	Elizabeth		1200.00	2021-04-15	245NZ55620	N/A
37	4.70	9mm	Composite	FALSE	2022-07-17	2023-02-19	2022-07-17	Sig Sauer	792.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/sig-sauer-p320-x-vtac-9-mm-luger-striker-fired-17-1-rounds-4-7-barrel-new?p=471642	P320 X-VTAC	Kylie		820.00	2021-04-30	58C334122	N/A
38	4.20	9mm	Composite	FALSE	2022-06-11	2023-02-19	2022-05-07	Walther	799.00	2022-04-06	https://www.guns.com/firearms/handguns/semi-auto/walther-p99-as-40-s-w-semi-auto-8-rounds-3-5-barrel-used?p=463534	P99 AS	Paris		750.00	2021-05-06	FDF7837	N/A
39	4.00	9mm	Composite	FALSE	1970-01-01	2022-03-20	2022-03-20	Sig Sauer	475.00	2022-04-06	https://www.gunsamerica.com/945068748/Sig-Sauer-SP2009-9mm-Pistol-USE.htm	SP 2009	Margot		740.00	2021-05-15	SP10035736	N/A
